"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 13 07:26:29 CST 2020","Mon Apr 13 07:26:30 CST 2020","1000","Suite","Test","com.testing.runner.WEBdataDriven","com.testing.runner.WEBdataDriven","f","f",""
"passed","Mon Apr 13 07:27:48 CST 2020","Mon Apr 13 07:27:49 CST 2020","1228","Suite","Test","com.testing.runner.WEBdataDriven3","com.testing.runner.WEBdataDriven3","f","f",""
"passed","Mon Apr 13 07:26:30 CST 2020","Mon Apr 13 07:26:31 CST 2020","1096","Suite","Test","com.testing.runner.WEBdataDriven","com.testing.runner.WEBdataDriven","f","f",""
"passed","Mon Apr 13 07:27:51 CST 2020","Mon Apr 13 07:27:52 CST 2020","1051","Suite","Test","com.testing.runner.WEBdataDriven3","com.testing.runner.WEBdataDriven3","f","f",""
"passed","Mon Apr 13 07:26:40 CST 2020","Mon Apr 13 07:26:41 CST 2020","1001","Suite","Test","com.testing.runner.WEBdataDriven","com.testing.runner.WEBdataDriven","f","f",""
"passed","Mon Apr 13 07:27:39 CST 2020","Mon Apr 13 07:27:40 CST 2020","1151","Suite","Test","com.testing.runner.WEBdataDriven3","com.testing.runner.WEBdataDriven3","f","f",""
"passed","Mon Apr 13 07:26:38 CST 2020","Mon Apr 13 07:26:39 CST 2020","1032","Suite","Test","com.testing.runner.WEBdataDriven","com.testing.runner.WEBdataDriven","f","f",""
"passed","Mon Apr 13 07:26:21 CST 2020","Mon Apr 13 07:26:22 CST 2020","1081","Suite","Test","com.testing.runner.WEBdataDriven","com.testing.runner.WEBdataDriven","f","f",""
"passed","Mon Apr 13 07:26:56 CST 2020","Mon Apr 13 07:26:57 CST 2020","1077","Suite","Test","com.testing.runner.WEBdataDriven2","com.testing.runner.WEBdataDriven2","f","f",""
"passed","Mon Apr 13 07:26:45 CST 2020","Mon Apr 13 07:26:46 CST 2020","1001","Suite","Test","com.testing.runner.WEBdataDriven","com.testing.runner.WEBdataDriven","f","f",""
"passed","Mon Apr 13 07:26:41 CST 2020","Mon Apr 13 07:26:42 CST 2020","1026","Suite","Test","com.testing.runner.WEBdataDriven","com.testing.runner.WEBdataDriven","f","f",""
"passed","Mon Apr 13 07:27:40 CST 2020","Mon Apr 13 07:27:41 CST 2020","1118","Suite","Test","com.testing.runner.WEBdataDriven3","com.testing.runner.WEBdataDriven3","f","f",""
"passed","Mon Apr 13 07:26:13 CST 2020","Mon Apr 13 07:26:14 CST 2020","1085","Suite","Test","com.testing.runner.WEBdataDriven","com.testing.runner.WEBdataDriven","f","f",""
"passed","Mon Apr 13 07:27:28 CST 2020","Mon Apr 13 07:27:31 CST 2020","3001","Suite","Test","com.testing.runner.WEBdataDriven2","com.testing.runner.WEBdataDriven2","f","f",""
"passed","Mon Apr 13 07:26:46 CST 2020","Mon Apr 13 07:26:47 CST 2020","1072","Suite","Test","com.testing.runner.WEBdataDriven","com.testing.runner.WEBdataDriven","f","f",""
"passed","Mon Apr 13 07:26:34 CST 2020","Mon Apr 13 07:26:35 CST 2020","1132","Suite","Test","com.testing.runner.WEBdataDriven","com.testing.runner.WEBdataDriven","f","f",""
"passed","Mon Apr 13 07:26:23 CST 2020","Mon Apr 13 07:26:24 CST 2020","1079","Suite","Test","com.testing.runner.WEBdataDriven","com.testing.runner.WEBdataDriven","f","f",""
"passed","Mon Apr 13 07:26:20 CST 2020","Mon Apr 13 07:26:21 CST 2020","1025","Suite","Test","com.testing.runner.WEBdataDriven","com.testing.runner.WEBdataDriven","f","f",""
